Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
647.5-3,,647.5 S 44th Street -3,Louisville,KY,40211,07/03/2023 14:43,Yes,Heating/AC,apartment,Medium,"The ac is not working again, they came out to look at it and did not do anything, said the unit outside needs to be sprayed and they did not do anything when they came out. She has been without ac for a few weeks now.",ac,Pending meld assignment,TQDZ12JB,,,,,,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5641356/summary/,,
11,,7602 Garrison Road - 11,Louisville,KY,40214,07/03/2023 13:42,Yes,Appliances,Kitchen,Medium,Water is dripping to the bottom of inside of the refrigerator,Refrigerator leak,Pending more management availability,TAF9DWE,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5640737/summary/,,
B5,,4704 Southern Parkway - B5,Louisville,KY,40214,07/03/2023 13:36,No,Cleaning,B5,Low,"4704 B5 needs to be trashed out

V key",Trash out,Pending completion,TW5DMY9,07/03/2023 21:18,,,,,,,,Vacant,,,Garcias cleaning llc ,,07/03/2023 21:18,07/05/2023 13:30,https://app.propertymeld.com/1912/m/1912/meld/5640681/summary/,,
1A,,306 Keeneland Drive - 1A,Elizabethtown,KY,42701,07/03/2023 13:35,Yes,Pest control,Kitchen,Low,"
She was told by Envirosafe to give us a call after a week if she was still seeing roaches. They were previously found mainly in the kitchen but since the last treatment they have moved to the bedroom. She found some baby ones the wall.
",Roaches (clone),Pending completion,TKQ3UZW,07/05/2023 11:08,,,,,,,,,,,EnviroSafe Termite & Pest Control,,07/05/2023 11:08,07/13/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5640668/summary/,,
113,,4522 Winnrose Way 113,Louisville,KY,40211,07/03/2023 13:01,No,Landscaping,Front yard ,Low,Tenant complaining about bushes being overgrown in front of her unit ,Overgrown bushes in front of the unit ,Canceled by manager,TQ9IU92,,,,,07/03/2023 13:44,We have spoken to our landscapers about this issue and are working to get this cut. I am closing this work order as we already have one open.,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5640269/summary/,,
1,,819 1/2 Beecher Street,Louisville,KY,40215,07/03/2023 12:58,No,Electrical,Kitchen ,Low,Spanish speaking tenants. Tenant states that the kitchen outlets no longer work.,Kitchen outlets are no longer working ,Pending more management availability,TK263HZ,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5640227/summary/,,
2,,12613 East Orell Road - 2,Louisville,KY,40272,07/03/2023 12:52,Yes,Electrical,"Kitchen, hallway, bedroom",Medium,"The outlets in kitchen on the wall with the window, the ceiling light in hallway, and the bedroom light all don't work.",Outlets not working,Pending more vendor availability,T1MVD4P,07/05/2023 07:17,,,,,,,,,,,GNCS LLC,,07/05/2023 07:17,,https://app.propertymeld.com/1912/m/1912/meld/5640160/summary/,,
34,,111 E O'Bryan Avenue-34,Bardstown,KY,40004,07/03/2023 12:13,No,Electrical,Bedroom ,Low,"One of the outlets in the bedroom is not working. It is the bedroom on the right and the outlet is behind the tv.
",Electrical outlet,Completed,TBREDLMB,,,07/05/2023 15:00,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5639706/summary/,,
16,,7602 Garrison Road - 16,Louisville,KY,40214,07/03/2023 11:28,No,Heating/AC,AC ,Low,Condensation line is leaking,AC leak,Completed,T03P65KB,,,07/03/2023 12:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5639161/summary/,,
12,,7602 Garrison Road - 12,Louisville,KY,40214,07/03/2023 11:28,Yes,Heating/AC,APARTMENT,Low,"Water needs to be extracted in the hallway and closet in the bedroom
Ac leaked but has been fixed",Water extraction (clone),Completed,T3C61JLB,07/03/2023 11:53,,07/05/2023 19:30,,,,,,,,,Deluxe Carpet cleaning,,07/03/2023 11:53,07/05/2023 13:30,https://app.propertymeld.com/1912/m/1912/meld/5639154/summary/,,
45,,111 E O'Bryan Avenue-45,Bardstown,KY,40004,07/03/2023 11:00,No,Locks,Doors/windows,High,"Unit was broken into. Need to secure doors and windows.

Police have been called and are their way to the property.",Break in,Completed,TTMICGMB,,,07/03/2023 13:30,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5638844/summary/,,
2A,,304 Keeneland Drive - 2A,Elizabethtown,KY,42701,07/03/2023 10:17,Yes,Washer/Dryer,Laundry room / outside wall,Medium,My dryer vent needs cleaned,Dryer vent,Pending more management availability,T4U2Y3AB,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5638410/summary/,,
2A,,304 Keeneland Drive - 2A,Elizabethtown,KY,42701,07/03/2023 10:15,Yes,Appliances,Kitchen,Medium,Hot plate not working.,Stove broken,Pending more management availability,TGRLFR7,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5638393/summary/,,
4,,111 E O'Bryan Avenue- 4,Bardstown,KY,40004,07/03/2023 09:59,No,Heating/AC,Kitchen,Low,The pan from the AC is overflowing once again and the water is coming through the ceiling into the kitchen,AC leak,Pending more management availability,T6PBK77,,,,,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5638248/summary/,,
1,,4728 Southern Parkway - 1,Louisville,KY,40214,07/03/2023 09:56,No,Electrical,basement,Low,LGE needs to get into basement for unit 1,LGE / Basement,Completed,TDHX1U3,,,07/01/2023 09:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5638218/summary/,,
101,,1743 Culbertson Avenue,New Albany,IN,47150,07/03/2023 09:55,No,Electrical,unit,Low,Light needs to be repaired or replaced,Light,Completed,TAUF0KR,,,07/02/2023 14:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5638207/summary/,,
5,,4728 Southern Parkway - 5,Louisville,KY,40214,07/03/2023 09:54,No,Toilet,Bathroom,Low,Toilet is not flushing,Toilet repair,Completed,TUDQ0PP,,,07/02/2023 16:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5638200/summary/,,
4,,3811 Carpenter Drive - 4,Louisville,KY,40229,07/03/2023 09:28,Yes,Other,Bathroom tub,Medium,When turning the tub off the hot water turns off the cold water knob turns off but the cold water is still leaking.,Tub faucet leaking,Pending completion,TH0601CB,07/05/2023 13:38,,,,,,,,,,,Mike Guelda,,,07/06/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5638003/summary/,,
1,,410 North 21st Street,Louisville,KY,40212,07/03/2023 09:28,Yes,Water Heater,water heater,Low,Please pull permit for the water heater,Water Heater Permit,Pending completion,TBBWRCB,07/03/2023 10:15,,,,,,,,,,,Dixie Plumbing,,07/03/2023 10:15,07/05/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5638001/summary/,,
1,,3029 Hartlage Court,Louisville,KY,40216,07/02/2023 21:19,Yes,Heating/AC,Whole unit,Medium,"Hello
I’m having issues with the AC in 3029 Hartlage court, 40216.
The breaker goes off constantly. 
",Ac breaker tripping,Pending more management availability,TFRDJEX,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5636288/summary/,,
12,,7602 Garrison Road - 12,Louisville,KY,40214,07/02/2023 21:12,No,Smoke Detector/CO detectors,Hvac closet,High,Res has even trying to find the detector going off in her wall. It's the CO2 going off she been having headaches all day. I told her to raise her window up step outside until maintenance get there,CO2 going off/hewdaches,Completed,TJULJI6,,,07/03/2023 10:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5636268/summary/,,
1,,18214 Hickory Woods Place,Fisherville,KY,40023,07/02/2023 18:13,No,Electrical,Porch,Medium,Only Outdoor Outlet (GFCI) will not reset in order to provide power.  No apparent breaker in the breaker box to reset also.  This is the only electrical outlet on the Southside of the house.  Required for security camera. As you can see from the picture the gfci is open and will not reset.,Outdoor electrical outlet not working,Pending completion,TDN10G3,07/03/2023 13:21,,,,,,,,,,,Mike Guelda,,,07/06/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5635683/summary/,,
2,,1743 Culbertson Avenue,New Albany,IN,47150,07/02/2023 17:31,No,Electrical,Stove Ac,High,"The stove and over head hood vent are working together when you turn on the stove the vent fan turns on when you turn oven on the light will come on on the hood vent 
Checked the ac it has full power checked the fuse it was good 
 We are sending vendors out for ac and electric

We perverted a mist air  cooling fan tenant said that she would like to buy this from the company after the ac and electric are fixed the price of fan was $105.00

The windows in the unit do not open 
Windows and electrical issues are the reason that we could not install a window ac unit",Ac/Stove (clone),Pending more management availability,TI3AUJG,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5635566/summary/,,
1,,3926 S Second St,Louisville,KY,40214,07/02/2023 16:07,No,Exterior,crawl Space,Medium,"There is a hole in the front of our house near the window of the crawl space.  Squirrels, birds can access the crawl space this way, and when they are in there make a huge amount of noise and probably leave messages.  We tried a home remedy for a while but it's fallen through and would greatly appreciate a permanent fix.  

Thank you!",critters in the crawl space,Completed,T65K1GM,07/03/2023 14:07,,07/05/2023 14:00,,,,,,,,,Mike Guelda,,,07/05/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5635301/summary/,,
4,,2515 Dixie Highway - 4,Shively,KY,40216,07/02/2023 15:52,Yes,Heating/AC,Indoor,Medium,"AC was working Friday when he left but Saturday start working I did everything I could think of and it's still not working
.. not sure what's going on with the air conditioner but it's not working again",Air conditioner heat,Pending more vendor availability,TPN8154,07/06/2023 08:51,,,,,,,,,,,Allstate Mechanical,,07/06/2023 08:51,,https://app.propertymeld.com/1912/m/1912/meld/5635261/summary/,,
1,,929 Dresden Avenue,Louisville,KY,40215,07/02/2023 15:08,No,Heating/AC,Living room,Medium,Thermometer fell off wall it’s hot in here will not go back on,Thermometer fell off wall,Pending more vendor availability,T9EZYYAB,07/03/2023 11:55,,,,,,,,,,,Allstate Mechanical,,07/03/2023 11:55,,https://app.propertymeld.com/1912/m/1912/meld/5635150/summary/,,
1,,2300 Cherian Drive,Jeffersontown,KY,40299,07/02/2023 12:01,Yes,Heating/AC,Whole unit,High,Ac unit is frozen up outside. Looks like it may need freon,Ac line froze up,Completed,TEL88Y0,07/03/2023 08:18,,07/03/2023 12:09,Found that the capacitor and motor both had issues. replace/repaired both and everything is now in working order.,,,,,,,,Allstate Mechanical,,07/03/2023 08:18,,https://app.propertymeld.com/1912/m/1912/meld/5634626/summary/,,
1,,5509 Phoenix Hill Ct,Louisville,KY,40207,07/02/2023 00:37,Yes,Heating/AC,Attic,Medium,The air filter in the attic unit needs to be replaced. Nobody here is capable of climbing into the attic.,Replace air filter in attic unit,Pending more management availability,T1NBEGB,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5633662/summary/,,
1,,5509 Phoenix Hill Ct,Louisville,KY,40207,07/02/2023 00:30,No,Other,Lower deck,Medium,The lower deck now has a foot long hole on one plank - seems to be due to rot.,Hole in lower deck,Pending more management availability,T3DCWYD,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5633655/summary/,,
1,,5509 Phoenix Hill Ct,Louisville,KY,40207,07/02/2023 00:24,Yes,Windows,Upstairs bedroom,Medium,"During the storm early this week, the screen on one of the window in the upstairs bedroom of was blown off the window by the heavy winds and got mangled.",Window screen blown off and damaged by heavy winds,Pending more management availability,THBGAI0,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5633647/summary/,,
11,,7602 Garrison Road - 11,Louisville,KY,40214,07/01/2023 20:02,No,Appliances,Kitchen,Medium,Water leaking inside the refrigerator,Water leaking,Canceled by manager,TPC6CK3,,,,,07/03/2023 13:09,Your previous work order was sent to Dixie Plumbing which they did receive. I am closing this one out in order to not create any confusion.,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5633193/summary/,,
11,,7602 Garrison Road - 11,Louisville,KY,40214,07/01/2023 19:59,Yes,Heating/AC,Closet,Medium,"Water is leaking on the floor from
The water heater .",Water heater is leaking,Pending completion,T2RLUKCB,07/03/2023 10:13,,,,,,,,,,,Dixie Plumbing,,07/03/2023 10:13,07/03/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5633183/summary/,,
1,,250 Thompson Ave,Louisville,KY,40206,07/01/2023 18:58,Yes,Roofing,Roof,Medium,The roof has leaked before. It is leaking again.,Roof is leaking,Pending more management availability,T0AZIDG,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5633018/summary/,,
4,,3811 Carpenter Drive - 4,Louisville,KY,40229,07/01/2023 18:32,Yes,Heating/AC,Entire apartment,Medium,Air conditioner is not working. Apartment is over 85 degrees. I do have a new phone number 812-704-6676,Apartment is very hot,Pending completion,TN342BBB,07/03/2023 12:39,,,,,,,,,,,Allstate Mechanical,,07/03/2023 12:39,07/05/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5632961/summary/,,
2420-112,,2430 McKindree Ct-112,Louisville,KY,40211,07/01/2023 14:20,No,Heating/AC,Whole unit,High,Ac is not working,Ac not working ,Completed,TYGNFU6,07/03/2023 08:06,,07/03/2023 13:37,Customer requested AC window unit. Will be sending over a bid for replacement. ,,,,,,,,Allstate Mechanical,,07/03/2023 08:06,,https://app.propertymeld.com/1912/m/1912/meld/5632251/summary/,,
2,,1705 Valley Forge Way - 2,Louisville,KY,40215,07/01/2023 04:41,Yes,Water Heater,Laundry room,Medium,Kitchen sink faucet exploded off and completely came off when I was doing dishes. Then something seemed to be going on with the water heater we went to the laundry room and the water heater is leaking on the pipe connected to the relief valve,Water heater relief valve is leaking and kitchen sink faucet blew off,Pending completion,T6964VU,07/03/2023 13:47,,,,,,,,,,,Dixie Plumbing,,07/03/2023 13:47,07/05/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5629763/summary/,,
12,,621 Westport Road,Elizabethtown,KY,42701,06/30/2023 23:17,No,Cleaning,Dumpster,High,Res reported someone dump funiture in front of the dumpster.,Funiture blocking fumpster,Pending completion,TT3W0BV,07/03/2023 21:17,,,,,,,,,,,Garcias cleaning llc ,,07/03/2023 21:17,07/04/2023 09:15,https://app.propertymeld.com/1912/m/1912/meld/5629546/summary/,,
2,,1743 Culbertson Avenue,New Albany,IN,47150,06/30/2023 23:09,No,Electrical,Stove Ac,High,Res has tripped her breaker to try to get the ac and stove to come on. It's not working. She did get the rest of her lights back on. Th,Ac/Stove,Completed,TPFCLCCB,,,07/01/2023 17:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5629526/summary/,,
611-2,,611 S 44th Street -2,Louisville,KY,40211,06/30/2023 17:19,No,Electrical,APARTMENT,Low,Electrical issues. ,Electrical Issues,Completed,TR1JDLFB,,,07/01/2023 10:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5628226/summary/,,
19,,1601 Gagel Avenue - 19,Louisville,KY,40216,06/30/2023 16:56,No,Cleaning,unit 19,Low,"Unit needs to be trashed out

Lockbox 0987 V key",Trash out,Pending completion,T1EBVRE,07/02/2023 22:21,,,,,,,,Vacant,,,Garcias cleaning llc ,,07/02/2023 22:21,07/03/2023 08:30,https://app.propertymeld.com/1912/m/1912/meld/5628034/summary/,,
1,,184 Cannon Court - 1,Louisville,KY,40229,06/30/2023 16:52,No,General,2nd floor,High,Remove broken refrigerator from 2nd floor. Owner wants us to handle removing the refrigerator because he doesn't want the tenants to hurt themselves getting it out.,Remove refrigerator that is on the 2nd floor,Pending completion,TEGMNB4,07/03/2023 21:18,,,,,,,,,,,Garcias cleaning llc ,,07/03/2023 21:18,07/05/2023 12:30,https://app.propertymeld.com/1912/m/1912/meld/5628014/summary/,,
2,,184 Cannon Court - 2,Louisville,KY,40229,06/30/2023 16:49,No,Landscaping,front lawn,Low,Owner approves us to drop off three bags of mulch. The tenants take care of the landscaping each year. ,Deliver bags of mulch,Pending more management availability,TA4UZ2B,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5627998/summary/,,
4,,1711 Valley Forge Way - 4,Louisville,KY,40215,06/30/2023 16:43,No,Interior,whole unit,Low,"Needed repairs to pass initial section 8 inspection

Living room area
Plug on the window doesn’t have power
Cause it has paint in Materials needs to be removed

Kitchen area
Loose plugs
Install GFI next to refrigerator and sink

First bedroom
Door does not latch
Loose plugs 
Light switch next window does not work anything repair or remove

Bathroom area
GFI has open ground
Pop up vanity drain needs repaired
Toilet needs to be mounted properly loose at base
Closet door does not have a door knob
Repair vanity light
Secure flooring, install transition strip at doorway
Door sticks at the top
Secure trap door

Second bedroom area
Door does not latch
Loose clothes
Closet door does not latch
Knob sticks

HVAC does not work send vendor 

Need to install hard gas line for HVAC flex pipe is previously installed. We can install the gas line 

Install mailbox 

Storage area in the basement for unit four needs to be cleaned out. There’s lots of clothing inside area.

We need to change the locks on storage area
Will need to install proper smoke alarms in basement areas

Send vendor to clean out storage area",Section 8 Repairs(clone),Completed,T7XPC8W,07/03/2023 12:42,,07/05/2023 12:30,,,,,,"Vacant,Section 8,Owner Approved",,,Albert Hardesty,,,07/05/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5627942/summary/,,
